"1 - UInt32","2 - String","3 - Int32","4 - UInt32","5 - UInt32","6 - Byte","7 - String"
"1","Kecoon bone collector","1","470020","379090000","3",""
"2","Bulture","1","470040","379090000","3",""
"3","Lycan","20","470070","379090000","3",""
"4","Striper scorpion","20","470080","379090000","3",""
"5","KOBOLD ","30","470090","379090000","3",""
"6","Mastodon","30","470130","379090000","3",""
"7","Death knight","40","470150","379090000","3",""
"8","Sheriff","40","470160","379090000","3","Only mages can be transformed"
"9","Harunga","50","470200","379090000","3",""
"10","Raven Harpy","60","470250","379090000","3",""
"11","Uruk Tron","60","470260","379090000","3",""
"12","Stone golem","60","470280","379090000","3",""
"13","Troll Captain","60","470290","379090000","3",""
"14","Kecoon bone collector","1","471020","379093000","1",""
"15","Bulture","1","471040","379093000","1",""
"16","Lycan","20","471070","379093000","1",""
"17","Striper scorpion","20","471080","379093000","1",""
"18","KOBOLD ","30","471090","379093000","1",""
"19","Mastodon","30","471130","379093000","1",""
"20","Death knight","40","471150","379093000","1",""
"21","Sheriff","40","471160","379093000","1","Only mages can be transformed"
"22","Harunga","50","471200","379093000","1",""
"23","Raven Harpy","60","471250","379093000","1",""
"24","Uruk Tron","60","471260","379093000","1",""
"25","Stone golem","60","471280","379093000","1",""
"26","Troll Captain","60","471290","379093000","1",""
"27","Kecoon bone collector","1","472020","381001000","1",""
"28","Bulture","1","472040","381001000","1",""
"29","Lycan","20","472070","381001000","1",""
"30","Striper scorpion","20","472080","381001000","1",""
"31","KOBOLD ","30","472090","381001000","1",""
"32","Mastodon","30","472130","381001000","1",""
"33","Death knight","40","472150","381001000","1",""
"34","Sheriff","40","472160","381001000","1","Only mages can be transformed"
"35","Harunga","50","472200","381001000","1",""
"36","Raven Harpy","60","472250","381001000","1",""
"37","Uruk Tron","60","472260","381001000","1",""
"38","Stone golem","60","472280","381001000","1",""
"39","Troll Captain","60","472290","381001000","1",""
