"1 - UInt32","2 - Byte","3 - String","4 - String","5 - UInt32","6 - Byte","7 - UInt32","8 - UInt32","9 - UInt32","10 - UInt32","11 - Byte","12 - Byte","13 - Byte","14 - Byte","15 - Byte","16 - Int16","17 - Int16","18 - Int16","19 - Int16","20 - Int16","21 - Int32","22 - Int32","23 - Int16","24 - Byte","25 - UInt32","26 - UInt32","27 - SByte","28 - SByte","29 - Byte","30 - Byte","31 - Byte","32 - Byte","33 - Byte","34 - Byte","35 - Byte","36 - Byte","37 - Byte"
"100010000","22","Fork","Event Item","0","0","10001000","10001000","310","301","51","0","1","0","0","3","200","20","60","4000","5000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"100020000","22","Hand mirror","Event Item","0","0","10002000","10002000","330","341","41","0","1","0","0","3","150","10","50","4000","5000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"110010000","22","Dagger","Basic Rogue Item","0","0","11011000","11011000","14","301","11","0","0","0","0","4","109","5","20","4000","50","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"110050000","22","Dagger","Basic Rogue Item","0","0","11021000","11021000","14","301","11","0","0","0","0","4","109","5","20","4000","50","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"110110000","0","Dagger","","0","0","11011000","11011000","14","301","11","0","0","0","0","6","109","10","20","4000","383","0","0","0","0","0","8","99","0","0","0","0","66","0","0","201","1"
"110150000","0","Fine Yard","","0","0","11021000","11021000","14","301","11","0","0","0","0","6","109","5","20","4000","383","0","0","0","0","0","8","99","0","0","0","0","66","0","0","101","1"
"110410000","0","Knife","","0","0","11031000","11031000","14","301","11","0","0","0","0","11","109","10","20","4000","3188","0","0","0","0","0","15","99","0","0","0","0","80","0","0","201","1"
"110450000","0","Dirk","","0","0","11041000","11041000","14","301","11","0","0","0","0","11","109","5","20","4000","3188","0","0","0","0","0","15","99","0","0","0","0","80","0","0","101","1"
"110610000","0","Stiletto","","0","0","11051000","11051000","14","301","11","0","0","0","0","19","109","10","20","4000","24499","0","0","0","0","0","26","99","0","0","0","0","102","0","0","201","1"
"110650000","0","Mail breaker","","0","0","11061000","11061000","14","301","11","0","0","0","0","19","109","5","20","4000","24499","0","0","0","0","0","26","99","0","0","0","0","102","0","0","101","1"
