"cp=1252",""
"1 - UInt32","2 - String"
"1","What kind of Holy Water are you looking for? "
"2","The Holy Water has been created. "
"3","You cannot create any more Holy Waters because you have exceeded the possible carrying weight."
"20","Do you want to enter the Forgotten Temple (Kelino Temple)? You are not thinking that it's open to just anybody, are you? Only the chosen ones (Level 60 or above) may enter during the time when the forces of evil are at its strongest (noon and 7PM). ||1.Only the first 32 people may enter.|2. You need 500,000 coins in order to teleport to the Forgotten Temple.|3. You can only earn experience points in the Forgotten Temple.|4. When you are in the Forgotten Temple, if you talk to Priest Athian or use the [/town] command, you'll be teleported to Moradon regardless of your HP amount. You cannot teleport once the Magic Gate is closed.|5. You'll lose 1% of your experience points if you die in the Forgotten Temple.|6. You will receive the Blue Treasure Chest when you kill all the monsters. You can take the chest to Miraselth in Moradon to receive the item inside.|7. There's a 30 minute time limit in the Forgotten Temple. The gates to the temple will close if you are unable to kill all the monsters within 30 minutes.|8. You can party up with people regardless of their nationality. "
"21","The brave group of Knights, Idid, the guardian of the Delos area, has disappeared due to the Igis' curse. At the same time, when Kashan Died, the dark army that was summoned to the Kelino Temple disappeared as well."
"22","A drunken monk was telling us that if we follow the trail in the purple forest, it will lead us to a golden Temple. We walked through the forest but didn't find any golden Temple. Instead we found a staff that was buried in cadavers, which seemed as old as the Temple itself. When Rapion possessed the Staff of Kashan the seal that had locked up the dark force was broken. The power of darkness took over the Kelino Temple. Bellier who was later notified of this incident sent out a group of Knights to the Temple to resolve the problem there, but the whole group was returned as cadavers. "
"23","[The answer can be found from the place of evolution.]|[What do you mean?]|Rapel the prophet continued telling his story.|[Kellino Temple was created by the Limphs that guards the 3 holy grounds. It's a sacred place prohibited to humans. However, through the 3 holy grounds, our group of knights may be able to enter the Kellino Temple.]"
"24","[Delos received the golden light|All evil shall kneel before you,|the fearless warrior!!]|Bashy Knights and mercenary soldiers followed Bellier to the Temple.||In year 682 of the Empire, Bellier's group never returned… And the endless battle had begun."
"25","You are not afraid, are you? Well.. Fighting the Army of Darkness head on will take a lot of guts.. "
"27","You cannot enter the temple right now because the evil power flowing out from the temple is not strong enough. You can enter the temple at noon and at 7PM, when the powers of evil are overwhelmingly active. "
"30","This is the Bas Temple. You need to be level 60 or above to enter!!"
"32","You need to move quickly. Only the first 32 people will be able to enter. "
"34","You need to have 500,000 coins in order to enter the Forgotten Temple. "
"36","Do you want to enter the Forgotten Temple (Kelino Temple)? You are not thinking that it's open to just anybody, are you? Only the chosen ones (Level 46~59 or above) may enter during the time when the forces of evil at Ines Temple are at its strongest (10AM and 5PM). ||1.Only the first 32 people may enter.|2. You need 100,000 coins in order to teleport to the Forgotten Temple.|3. You can only earn experience points in the Forgotten Temple.|4. When you are in the Forgotten Temple, if you talk to Priest Athian or use the [/town] command, you'll be teleported to Moradon regardless of your HP amount. You cannot teleport once the Magic Gate is closed.|5. You'll lose 1% of your experience points if you die in the Forgotten Temple.|6. You will receive the Red Treasure Chest when you kill all the monsters. You can take the chest to Miraselth in Moradon to receive the item inside.|7. There's a 30 minute time limit in the Forgotten Temple. The gates to the temple will close if you are unable to kill all the monsters within 30 minutes.|8. You can party up with people regardless of their nationality."
"41","You cannot enter the temple right now because the evil power flowing out from the temple is not strong enough. You can enter the temple at 10AM and at 5PM, when the powers of evil are overwhelmingly active. "
"44","This is the Ines Temple. You need to be level 46~59 to enter!!"
"48","You need to have 100,000 coins in order to enter the Forgotten Temple. "
"50","Do you want to enter the Forgotten Temple (Kelino Temple)? You are not thinking that it's open to just anybody, are you? Only the chosen ones (Level 46~59 or above) may enter during the time when the forces of evil at Nes Temple are at its strongest (11AM and 6PM). ||1.Only the first 32 people may enter.|2. You need 300,000 coins in order to teleport to the Forgotten Temple.|3. You can only earn experience points in the Forgotten Temple.|4. When you are in the Forgotten Temple, if you talk to Priest Athian or use the [/town] command, you'll be teleported to Moradon regardless of your HP amount. You cannot teleport once the Magic Gate is closed.|5. You'll lose 1% of your experience points if you die in the Forgotten Temple.|6. You will receive the Green Treasure Chest when you kill all the monsters. You can take the chest to Miraselth in Moradon to receive the item inside.|7. There's a 30 minute time limit in the Forgotten Temple. The gates to the temple will close if you are unable to kill all the monsters within 30 minutes.|8. You can party up with people regardless of their nationality."
"55","You cannot enter the temple right now because the evil power flowing out from the temple is not strong enough. You can enter the temple at 11AM and at 6PM, when the powers of evil are overwhelmingly active. "
"58","This is the Nes Temple. You need to be level 46~59 to enter!!"
"62","You need to have 300,000 coins in order to enter the Forgotten Temple. "
"70","The Kellino Temple is currently under the control of the Dark Army, but this holy ground was originally created by the Limphs that were guarding the three sacred holy grounds near by. They hid treasures here. You'll have to eliminate all of the Dark Army in order to earn the treasure. If you bring the treasure chest to me, I'll open it for you free of charge.| Which treasure chest did you bring? "
"71","The Blue Treasure Chest was originally possessed by the Limphs in Bas Temple. You can get the chest by entering the Forgotten Temple through Laemith[Forgotten Temple1]. It should be deep within the temple. I'll open the chest for you if you bring it back to me! |However, I'm uncertain of what's going to be inside the chest. "
"72","The Green Treasure Chest was originally possessed by the Limphs in Nes Temple. You can get the chest by entering the Forgotten Temple through Laedith[Forgotten Temple2]. It should be deep within the temple. I'll open the chest for you if you bring it back to me! |However, I'm uncertain of what's going to be inside the chest. "
"73","The Red Treasure Chest was originally possessed by the Limphs in Ines Temple. You can get the chest by entering the Forgotten Temple through Learth[Forgotten Temple3]. It should be deep within the temple. I'll open the chest for you if you bring it back to me! |However, I'm uncertain of what's going to be inside the chest. "
"74","If you bring me the Blue Treasure Chest from the Forgotten Temple, I'll tell you how to open it. "
"76","You can earn the Blue Treasure Chest by entering the Forgotten Temple through Laemith and eliminating all of the Dark Army inside it. "
"78","You have received the item that was in the Blue Treasure Chest. May the blessings of Bas Temple be with you.. Always.. "
"79","If you bring me the Green Treasure Chest from the Forgotten Temple, I'll tell you how to open it. "
"80","You can earn the Green Treasure Chest by entering the Forgotten Temple through Laemith and eliminating all of the Dark Army inside it. "
"81","You have received the item that was in the Green Treasure Chest. May the blessings of Bas Temple be with you.. Always.. "
"82","If you bring me the Red Treasure Chest from the Forgotten Temple, I'll tell you how to open it. "
"83","You can earn the Red Treasure Chest by entering the Forgotten Temple through Laemith and eliminating all of the Dark Army inside it. "
"84","You have received the item that was in the Red Treasure Chest. May the blessings of Bas Temple be with you.. Always.. "
"1001","You want more power?  Then do me a favor.. I'll give you what you really want!! Keke"
"1002","Hey! Stupid! Why don't you come back when you are stronger!!  Keke"
"1003","You desire to become stronger..  OK! You know about Logos, the creator of the ancient Adonis Continent, right?  Keke.. Of course you do.. On this continent there were six countries, and throughout these countries were the shrines of Logos.  "
"1004","Of course, that is before Patos destroyed the world.  You've heard of the legend that there are weapons and armors that are located within the Logos shrines, right?  The ones that have been blessed by the Gods.. "
"1005","Interesting, isn't it?  Among these blessed items is an item called Talia Skin.. This is an extremely valuable item.  The cheap armor you're wearing is nothig compared to this!!  I can give you the 'Armor of Destruction'.."
"1006","However, nothing is for free.. I need you to do me a few favors.  I'm conducting a study on the Golems and I need you to fetch me the teeth of  Smilodon, the nails of Stegodon, and the heart of a Haunga which revives Golems.     "
"1007","Oh.. I also need the scales of the Gloom Wing in order to repair Armor of Destruction.  Bring me what I want, and I'll bless you with an incredible strength. "
"1008","Hehe… I knew it.. This should be unexpected for a coward like you.. "
"1009","Hehe.. You've done it.. As promised, I'll give you the Armor of Destruction.. "
"1010","You've returned as I expected.. The Armor of Destruction is yours.. Or should I say, you are now owned by the Armor of Destruction.. Hehe.. "
"1011","This is the Pads of Destruction.. Don't forget, the name of this armor is the Armor of Destruction!! "
"1012","Gauntlet of Destruction!!  Everybody wants one, but not everybody can own one.. Looks like the Gauntlet wants you~!!  "
"1013","Here.. Take the Boots of Destruction.. Be careful.. The curse that's been casted on these boots might take you to hell…  "
"1014","Here's the Belt of Destruction.. I wonder if you can stand the wrath of the curse..  "
"1015","Which one do you want? "
"1016","15 tooth of Smilodon, 15 nails of Stegodon, 5 hearts of Haunga, and 10 scales of Gloom Wing  "
"1017","30 tooth of Smilodon, 20 nails of Stegodon, 15 hearts of Haunga, and 30 scales of Gloom Wing  "
"1018","30 tooth of Smilodon, 20 nails of Stegodon, 15 hearts of Haunga, and 30 scales of Gloom Wing  "
"1019","10 tooth of Smilodon, 20 nails of Stegodon, 3 hearts of Haunga, and 10 scales of Gloom Wing  "
"1020","10 tooth of Smilodon, 20 nails of Stegodon, 3 hearts of Haunga, and 10 scales of Gloom Wing  "
"1021","10 tooth of Smilodon, 15 nails of Stegodon, 3 hearts of Haunga, and 10 scales of Gloom Wing  "
"1022","You're greedy!! Don't you already have this?? "
"1023","This is not enough.. Too bad.. "
"1050","Tell your clan leader that this mission can only be accomplished by a clan leader. "
"1051","The Knights are the combat unit authorized by the Emperor. Being a Knight requires a Level 3 Clan Certificate which proves your service for the country. In addition, you should show your courage and skills. Right now, at the Colosseum, Caitharos is waiting for you. Duel with and beat Caitharos, bringing [Brain of Centaur] together with Knight registration fee of 10 million Coin."
"1052","You will face lots of challenges at the Colosseum. For the Knight qualification test, all clan members in the main nation will be teleported into the Coloseum. There's no classification of ally or enemy in this zone. Everybody is your enemy! You can also receive attacks from the opposing nation. Only the strongest will obtain the [Brain of Centaur]"
"1053","You might lose your valuable experience points or get locked up in the Colosseum. Or you may even lose to another clan and lose your [Brain of Centaur]"
"1054","The most important thing is that you, the clan leader, must get it personally. Your friends may help you to defeat the Caitharos, but they cannot get the [Brain of Centaur] for you. Mark my words!! Good luck!!"
"1055","Your clan needs to put in more service for your nation. Only the clans with with grade 3 or above are allowed to become a Knights. "
"1056","I'll wait for some good news. Good luck!"
"1057","You don't have enough coins. You need 10 million coins in order to register the Knights. "
"1058","You need to retrieve the [Brain of Centaur] from Caitharos to qualify for becoming a Knights."
"1059","There's nothing more I can do for you. Go and walk the path of a hero!!"
"1060","I knew you'd come back. Did you bring the [Brain of Centaur]? "
"1061","Would you like to try again? "
"1062","Congratulations on becoming an honorable Knights. You now qualify to rule the castle in the new zone in the name of the emperor. "
"1100","Did you meet the advisor from the castle? If you've talked to him you probably know who I am|OK, which spy scroll do you need? "
"1102","Did you deliver the secret scroll that I gave you last time to the Advisor?"
