"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32"
"101003","0","100","120","100","0","1","0","0","128","128","0"
"101005","0","150","100","100","0","1","0","0","126","126","0"
"101009","0","200","100","100","0","1","0","0","114","114","0"
"102005","0","100","150","100","0","1","0","0","114","114","0"
"105003","0","100","120","100","0","1","0","0","128","128","0"
"105005","0","150","100","100","0","1","0","0","126","126","0"
"105009","0","200","100","100","0","1","0","0","114","114","0"
"105500","0","100","100","100","0","1","0","0","118","129","0"
"105505","0","100","150","100","0","1","0","0","131","113","0"
"105510","0","100","100","100","0","1","0","0","114","121","0"
"105515","1","100","100","100","0","1","0","0","128","132","0"
"105520","0","100","100","100","0","1","0","0","126","135","0"
"105525","0","100","200","100","0","1","0","0","114","129","0"
"105530","0","100","100","100","0","1","0","0","129","135","0"
"105535","1","100","150","100","0","1","0","0","113","118","0"
"105540","0","100","150","100","0","1","0","0","121","126","0"
"105545","0","100","250","100","0","1","0","0","114","126","0"
"105550","0","100","100","100","0","1","0","0","118","128","0"
"105555","1","100","200","100","0","1","0","0","129","118","0"
"105560","1","100","250","100","0","1","0","0","113","135","0"
"106003","0","100","120","100","0","1","0","0","128","128","0"
"106005","0","150","100","100","0","1","0","0","126","126","0"
"106009","0","200","100","100","0","1","0","0","114","114","0"
"106500","0","100","100","100","0","1","0","0","118","129","0"
"106505","0","100","150","100","0","1","0","0","131","113","0"
"106510","0","100","100","100","0","1","0","0","114","121","0"
"106515","1","100","100","100","0","1","0","0","128","132","0"
"106520","0","100","100","100","0","1","0","0","126","135","0"
"106525","0","100","200","100","0","1","0","0","114","129","0"
"106530","0","100","100","100","0","1","0","0","129","135","0"
"106535","1","100","150","100","0","1","0","0","113","118","0"
"106540","0","100","150","100","0","1","0","0","121","126","0"
"106545","0","100","250","100","0","1","0","0","114","126","0"
"106550","0","100","100","100","0","1","0","0","118","128","0"
"106555","1","100","200","100","0","1","0","0","129","118","0"
"106560","1","100","250","100","0","1","0","0","113","135","0"
"106570","1","100","300","100","0","1","0","0","113","135","0"
"106802","1","100","250","100","0","1","0","0","114","114","0"
"106805","0","100","130","100","0","1","0","0","114","114","0"
"107005","0","100","150","100","0","1","0","0","114","114","0"
"107600","0","100","100","100","0","1","0","0","128","128","0"
"107615","0","100","200","100","0","1","0","0","126","126","0"
"107620","0","100","100","100","0","1","0","0","118","118","0"
"107635","0","100","400","100","0","1","0","0","131","131","0"
"107640","0","100","100","100","0","1","0","0","114","114","0"
"107655","0","100","600","100","0","1","0","0","129","129","0"
"108005","0","100","150","100","0","1","0","0","114","114","0"
"108600","2","100","100","100","0","1","0","0","128","128","0"
"108615","0","100","200","100","0","1","0","0","126","126","0"
"108620","2","100","100","100","0","1","0","0","118","118","0"
"108635","0","100","400","100","0","1","0","0","131","131","0"
"108640","2","100","100","100","0","1","0","0","114","114","0"
"108655","0","100","600","100","0","1","0","0","129","129","0"
"108670","2","100","100","100","0","1","0","0","114","114","0"
"109542","0","100","100","100","0","1","0","0","128","128","0"
"109642","0","100","100","100","0","1","0","0","128","128","0"
"109742","0","100","100","100","0","1","0","0","128","128","0"
"110542","0","100","100","100","0","1","0","0","128","128","0"
"110642","0","100","100","100","0","1","0","0","128","128","0"
"110742","0","100","100","100","0","1","0","0","128","128","0"
"111511","1","100","120","100","0","1","0","0","113","113","0"
"111520","1","100","150","100","0","1","0","0","113","113","0"
"111542","1","100","150","100","0","1","0","0","113","113","0"
"111551","1","100","200","100","0","1","0","0","113","113","0"
"111611","1","100","120","100","0","1","0","0","113","113","0"
