"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - Int32","6 - Int32"
"102003","0","100","0","100","1"
"107003","0","100","0","100","1"
"107500","0","150","0","100","1"
"107505","0","100","0","100","1"
"107510","0","100","0","100","1"
"107515","0","99","0","100","3"
"107520","2","100","0","100","1"
"107525","0","200","0","100","1"
"107530","0","100","0","100","1"
"107535","0","100","0","100","1"
"107540","0","250","0","100","1"
"107545","0","100","0","100","1"
"107550","0","100","0","100","1"
"107555","0","99","0","100","5"
"107560","2","250","0","100","1"
"108003","0","100","0","100","1"
"108500","0","150","0","100","1"
"108505","0","100","0","100","1"
"108510","0","100","0","100","1"
"108515","0","99","0","100","3"
"108520","2","100","0","100","1"
"108525","0","200","0","100","1"
"108530","0","100","0","100","1"
"108535","0","100","0","100","1"
"108540","0","250","0","100","1"
"108545","0","100","0","100","1"
"108550","0","100","0","100","1"
"108555","0","99","0","100","5"
"108560","2","250","0","100","1"
"108570","2","300","0","100","1"
"202003","0","100","0","100","1"
"207003","0","100","0","100","1"
"207500","0","150","0","100","1"
"207505","0","100","0","100","1"
"207510","0","100","0","100","1"
"207515","0","99","0","100","3"
"207520","2","100","0","100","1"
"207525","0","200","0","100","1"
"207530","0","100","0","100","1"
"207535","0","100","0","100","1"
"207540","0","250","0","100","1"
"207545","0","100","0","100","1"
"207550","0","100","0","100","1"
"207555","0","99","0","100","5"
"207560","2","250","0","100","1"
"208003","0","100","0","100","1"
"208500","0","150","0","100","1"
"208505","0","100","0","100","1"
"208510","0","100","0","100","1"
"208515","0","99","0","100","3"
"208520","2","100","0","100","1"
"208525","0","200","0","100","1"
"208530","0","100","0","100","1"
"208535","0","100","0","100","1"
"208540","0","250","0","100","1"
"208545","0","100","0","100","1"
"208550","0","100","0","100","1"
"208555","0","99","0","100","5"
"208560","2","250","0","100","1"
"208570","2","300","0","100","1"
