"1 - UInt32","2 - String","3 - String","4 - Int32","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32","13 - Int32","14 - Int32","15 - Int32","16 - Int32","17 - Int32","18 - Int32","19 - Int32","20 - Int32","21 - Byte","22 - UInt32","23 - UInt32","24 - UInt32","25 - UInt32","26 - Byte","27 - UInt32","28 - UInt32"
"120021","사다리 펼치기","사다리를 펼친다","100","30061","0","10000","2000","0","1500","0","1000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","0","0","0","0","0"
"120022","사다리 접기","사다리를 접는다","100","30060","0","10000","2000","3","1500","0","1000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","0","0","0","0","0"
"220021","사다리 펼치기","사다리를 펼친다","100","30061","0","10000","2000","0","1500","0","1000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","0","0","0","0","0"
"220022","사다리 접기","사다리를 접는다","100","30060","0","10000","2000","3","1500","0","1000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","0","0","0","0","0"
"450001","투석기","투석기로 변신한다","70","30010","9000","15000","5000","1","1500","0","2000","275","275","30000","30000","30000","30000","30000","30000","2","1111","0","1","0","0","0","0"
"450002","충차","충차로 변신한다","100","30040","9000","20000","3000","3","1500","0","3000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","1","0","0","0","0"
"450003","사다리차","사다리차로 변신한다","100","30060","9000","30000","2000","3","1500","0","3000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","1","0","0","0","0"
"450004","대장차","대장차로 변신한다","120","30050","9000","30000","5000","2","1500","0","2500","275","275","30000","30000","30000","30000","30000","30000","2","1111","0","1","0","0","0","0"
"450011","투석기","투석기로 변신한다","70","30010","9000","15000","5000","1","1500","0","2000","275","275","30000","30000","30000","30000","30000","30000","2","1111","0","1","0","0","0","0"
"450012","충차","충차로 변신한다","100","30040","9000","20000","3000","3","1500","0","3000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","1","0","0","0","0"
"450013","사다리차","사다리차로 변신한다","100","30060","9000","30000","2000","3","1500","0","3000","275","275","32000","32000","32000","32000","32000","32000","2","1111","0","1","0","0","0","0"
"450014","대장차","대장차로 변신한다","120","30050","9000","30000","5000","2","1500","0","2500","275","275","30000","30000","30000","30000","30000","30000","2","1111","0","1","0","0","0","0"
"470010","Wild bulcan","와일드 불칸","120","200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470020","Kecoon bone collector","케쿤 본 콜렉터","80","100","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","180110000","0"
"470030","Gavolt","가볼트","100","300","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470040","Bulture","벌쳐","180","200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470050","Zombie","좀비","100","1000","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470060","Werewolf","웨어울프","120","500","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470070","Lycan","라이칸","121","500","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","190450000","0"
"470080","Striper scorpion","스트라이퍼","120","900","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470090","KOBOLD ","코볼드","100","2010","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","120510000","0"
"470100","Dire wolf","다이어 울프","150","500","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470110","Skeleton knight","스켈레톤 나이트","130","1100","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470120","Smilodon","스미르돈","100","600","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470130","Mastodon","마스토돈","120","400","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470132","Black widow","블랙 위도우","100","3400","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"470140","Megarodon","메가로돈","150","400","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470150","Death knight","데쓰 나이트","150","1100","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"470160","Sheriff","셰리프","100","1200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","1","2","1","1","0","0"
"470170","Gaunga","가웅가","102","1300","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470180","Cardinal","카디널","130","1200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470190","Haunga","하웅가","100","1300","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470192","gloom  hound","그룸 하운드","90","610","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470200","Harunga","하룽가","101","1300","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","131510000","0"
"470202","burning skeleton","버닝 스켈레톤","150","3700","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"470210","Deruvish","데루비시","110","2100","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470212","Reaper","리퍼","150","3500","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120750000","170250000"
"470220","Apostle","사도","120","2100","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470230","Harpy","하피","100","2200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470240","Troll","트롤","120","1701","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470248","HOBGOBLIN","홉고블린","160","2010","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120510000","0"
"470250","Raven Harpy","레이븐 하피","120","2200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470260","Uruk Tron","우르크트론","150","1636","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120350000","170150000"
"470270","Troll Warrior","트롤 워리어","150","1701","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470272","fallen Angel","타락천사","100","3000","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470274","Manticore","맨티코어","130","3800","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470276","Centaur","켄타우르스","150","2600","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","169010257"
"470280","Stone golem","스톤 골렘","80","2400","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470290","Troll Captain","트롤 캡틴","210","1701","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","140650000","0"
"470300","Orc bandit officer","오크 산적 법사 부두목","100","1606","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470310","Orc bandit officer","오크 산적 궁수 부두목","100","1631","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470320","Orc bandit officer","오크 산적 전사 부두목","100","1636","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470322","Flame Rock","플레임 록","80","3600","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470330","Harpy Queen","하피 퀸","180","2200","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470340","Giant golem","자이언트 골렘","100","2400","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470350","Troll King","트롤 킹","240","1701","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470910","Goddess Adelia","여신 아딜리아","110","25001","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"470920","the envoy of God Pathos","파토신의 사자","120","4800","5400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471010","Wild bulcan","와일드 불칸","120","200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471020","Kecoon bone collector","케쿤 본 콜렉터","80","100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","180110000","0"
"471030","Gavolt","가볼트","100","300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471040","Bulture","벌쳐","180","200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471050","Zombie","좀비","100","1000","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471060","Werewolf","웨어울프","120","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471070","Lycan","라이칸","121","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","190450000","0"
"471080","Striper scorpion","스트라이퍼","120","900","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471090","KOBOLD ","코볼드","100","2010","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","120510000","0"
"471100","Dire wolf","다이어 울프","150","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471110","Skeleton knight","스켈레톤 나이트","130","1100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471120","Smilodon","스미르돈","100","600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471130","Mastodon","마스토돈","120","400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471132","Black widow","블랙 위도우","100","3400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"471140","Megarodon","메가로돈","150","400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471150","Death knight","데쓰 나이트","150","1100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"471160","Sheriff","셰리프","100","1200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","1","2","1","1","0","0"
"471170","Gaunga","가웅가","102","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471180","Cardinal","카디널","130","1200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471190","Haunga","하웅가","100","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471192","gloom  hound","그룸 하운드","90","610","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471200","Harunga","하룽가","101","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","131510000","0"
"471202","burning skeleton","버닝 스켈레톤","150","3700","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"471210","Deruvish","데루비시","110","2100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471212","Reaper","리퍼","150","3500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120750000","170250000"
"471220","Apostle","사도","120","2100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471230","Harpy","하피","100","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471240","Troll","트롤","120","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471248","HOBGOBLIN","홉고블린","160","2010","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120510000","0"
"471250","Raven Harpy","레이븐 하피","120","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471260","Uruk Tron","우르크트론","150","1636","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120350000","170150000"
"471270","Troll Warrior","트롤 워리어","150","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471272","fallen Angel","타락천사","100","3000","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471274","Manticore","맨티코어","130","3800","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471276","Centaur","켄타우르스","150","2600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","169010257"
"471280","Stone golem","스톤 골렘","80","2400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471290","Troll Captain","트롤 캡틴","210","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","140650000","0"
"471300","Orc bandit officer","오크 산적 법사 부두목","100","1606","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471310","Orc bandit officer","오크 산적 궁수 부두목","100","1631","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471320","Orc bandit officer","오크 산적 전사 부두목","100","1636","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471322","Flame Rock","플레임 록","80","3600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471330","Harpy Queen","하피 퀸","180","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471340","Giant golem","자이언트 골렘","100","2400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471350","Troll King","트롤 킹","240","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471910","Goddess Adelia","여신 아딜리아","110","25001","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"471920","the envoy of God Pathos","파토신의 사자","120","4800","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472010","Wild bulcan","와일드 불칸","120","200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472020","Kecoon bone collector","케쿤 본 콜렉터","80","100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","180110000","0"
"472030","Gavolt","가볼트","100","300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472040","Bulture","벌쳐","180","200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472050","Zombie","좀비","100","1000","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472060","Werewolf","웨어울프","120","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472070","Lycan","라이칸","121","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","190450000","0"
"472080","Striper scorpion","스트라이퍼","120","900","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472090","KOBOLD ","코볼드","100","2010","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","120510000","0"
"472100","Dire wolf","다이어 울프","150","500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
