"1 - UInt32","2 - String","3 - String","4 - String","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32","13 - Int32","14 - Int32","15 - Int32","16 - Int32","17 - Int32","18 - Int32","19 - Int32","20 - UInt32","21 - UInt32","22 - Int32","23 - Int32","24 - Single","25 - Single","26 - Int32","27 - UInt32","28 - UInt32","29 - Int32","30 - Int32"
"101001","Sprint","Sprint","Temporarily incrases your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1010","5","0","9","0","0","60","0","0","100","4","0","0","0"
"101003","slash","slash","Inflict 120% damage","26","0","0","2601","12","0","0","0","10002","-1","7","3","1010","4","0","0","0","0","31","0","0","100","1","0","0","0"
"101005","Crash","Crash","Increases your chances of succeeding an attack by 1.5 times","24","0","0","2601","12","0","0","0","10002","-1","7","5","1010","4","0","0","0","0","31","0","0","100","1","0","0","0"
"101007","Defense","Defense","Temporarily increases your defense","24","0","0","2701","-1","0","0","0","701","-1","1","7","1010","4","0","9","0","0","100","0","0","100","4","0","0","0"
"101009","Piercing","Piercing","Increases your chances of succeeding an attack by 2 times","26","0","0","2601","12","0","0","0","10002","-1","7","9","1010","4","0","0","0","0","31","0","0","100","1","0","0","0"
"102001","Sprint","Sprint","Temporarily incrases your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1020","5","0","9","0","0","60","0","0","100","4","0","0","0"
"102003","Archery","Archery","Use a bow to shoot arrows. ","26","0","0","500","12","0","0","590","550","0","7","3","1020","0","0","7","391010000","13","0","0","0","100","2","0","0","0"
"102005","Stab","Stab","Use a dagger to inflict 150% damage","26","0","0","2601","12","0","0","0","10002","-1","7","5","1020","5","0","1","0","0","52","0","0","100","1","0","0","0"
"103001","Flash","Flash","Use magic shocks to attack the enemy","16","0","0","2601","12","0","0","0","101","0","7","1","1030","4","0","9","0","15","43","0","0","50","3","0","25","0"
"103003","Shiver","Shiver","Continuous attack done for a set period of time ","16","0","0","2601","12","0","0","0","201","-1","7","3","1030","5","0","9","0","15","43","0","0","50","3","0","25","0"
"103005","Flame","Flame","Burn your enemy with flames","16","0","0","2101","2","0","0","0","101","0","7","5","1030","5","0","9","0","15","43","0","0","50","3","0","25","0"
"103007","Cold wave","Cold wave","An Glacier attack that slows down your enemy for a set period of time","16","0","0","2201","2","0","0","0","201","0","7","7","1030","5","0","9","0","15","43","0","0","50","3","4","25","0"
"103009","Spark","Spark","Spark Lightningity on your enemy. It also has an added effect of neutralizing magic attacks.","16","0","0","2301","2","0","0","0","301","0","7","9","1030","7","0","9","0","15","43","0","0","50","3","0","25","0"
"104001","Tiny healing","Tiny healing","Heal 15 HP","17","0","0","2601","7012","0","0","0","601","-1","2","1","1040","5","0","9","0","19","0","0","0","80","3","0","25","0"
"104002","Light strike","Light strike","Light magic attack","16","0","0","3101","12","0","0","0","1101","0","7","2","1040","5","0","9","0","15","54","0","0","50","3","0","25","0"
"104004","Strength","Strength","Increase 15 Strength","18","0","0","2601","7012","0","0","0","601","-1","2","4","1040","10","0","9","0","15","0","0","0","50","4","0","25","0"
"104005","Light healing","Light healing","Heal 30 HP","17","0","0","2601","7012","0","0","0","601","-1","2","5","1040","10","0","9","0","19","0","0","0","80","3","0","25","0"
"104006","Resist poison","Resist poison","Increase resistance to poison by 20","18","0","0","2701","-1","0","0","0","701","-1","2","6","1040","10","0","9","0","15","0","0","0","50","4","0","25","0"
"104007","Brightness","Brightness","Light magic attack","16","0","0","3101","12","0","0","0","1101","0","7","7","1040","10","0","9","0","15","54","0","0","50","3","0","25","0"
"104008","Tiny restore","Tiny restore","Heal 50 HP for 20 seconds","17","0","0","2601","7012","0","0","0","601","-1","2","8","1040","15","0","9","0","19","0","0","0","80","3","0","25","0"
"105001","Sprint","Sprint","Temporarily increases your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1050","5","0","9","0","0","60","0","0","100","4","0","0","0"
"105003","Slash","Slash","Inflict 120% damage","26","0","0","2601","12","0","0","0","10002","-1","7","3","1050","4","0","0","0","0","31","0","0","100","1","0","0","0"
"105005","Crash","Crash","Increases your chances of succeeding an attack by 1.5 times","24","0","0","2601","12","0","0","0","10002","-1","7","5","1050","4","0","0","0","0","31","0","0","100","1","0","0","0"
"105007","Defense","Defense","Temporarily increases your defense","24","0","0","2701","-1","0","0","0","701","-1","1","7","1050","4","0","9","0","0","100","0","0","100","4","0","0","0"
"105009","Piercing","Piercing","Increases your chances of succeeding an attack by 2 times","26","0","0","2601","12","0","0","0","10002","-1","7","9","1050","4","0","0","0","0","31","0","0","100","1","0","0","0"
"105500","Hash","Hash","30 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","0","1055","10","0","0","0","0","31","0","0","100","1","0","0","0"
"105505","Hoodwink","Hoodwink","Inflict 150% damage","26","0","0","2601","12","0","0","0","10002","-1","7","5","1055","30","0","0","0","0","5","0","0","100","1","0","0","0"
"105510","Shear","Shear","50 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","10","1055","20","0","0","0","0","31","0","0","100","1","0","0","0"
"105515","Pierce","Pierce","Inflict 100% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","15","1055","60","0","0","0","0","5","0","0","100","1","0","0","0"
"105520","Leg cutting","Leg cutting","Slows down your enemy","26","0","0","2601","12","0","0","0","10002","-1","7","20","1055","84","0","0","0","0","51","0","0","100","1","4","0","0"
"105525","Carving","Carving","Inflict 200% damage ","26","0","0","2601","12","0","0","0","10002","-1","7","25","1055","90","0","0","0","0","5","0","0","100","1","0","0","0"
"105530","Sever","Sever","100 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","30","1055","40","0","0","0","0","31","0","0","100","1","0","0","0"
"105535","Prick","Prick","Inflict 150% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","35","1055","120","0","0","0","0","5","0","0","100","1","0","0","0"
"105540","Multiple shock","Multiple shock","Inflict 150% damage and 50 additional damage","26","0","0","2601","12","0","0","0","10002","-1","7","40","1055","60","0","0","0","0","31","0","0","100","1","0","0","0"
"105545","Cleave","Cleave","Inflict 250% damage","26","0","0","2601","12","0","0","0","10002","-1","7","45","1055","150","0","0","0","0","5","0","0","100","1","0","0","0"
"105550","mangling","mangling","150 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","50","1055","60","0","0","0","0","31","0","0","100","1","0","0","0"
"105555","thrust ","thrust ","Inflict 200% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","55","1055","200","0","0","0","0","5","0","0","100","1","0","0","0"
"105560","sword dancing","sword dancing","Inflict 250% damage withno chance of failure and 150 additional damage","26","0","0","2601","12","0","0","0","10002","-1","7","60","1055","300","0","0","0","0","5","0","0","100","1","0","0","0"
"105605","Hinder","Hinder","[Passive]Increase defense by 10%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","5","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105610","resist","resist","[Passive]Increaes all resistance by 30. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","10","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105615","Arrest","Arrest","[Passive]Increase defense by 15%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","15","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105620","endure","endure","[Passive]Increase all resistance by 60. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","20","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105630","Binding","Binding","Trick monster into attacking itself","129","0","0","2601","12","0","0","0","10002","-1","7","30","1056","30","0","9","0","0","65","0","0","100","7","0","30","0"
"105635","Bulwark","Bulwark","[Passive]Increase defense by 20%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","35","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105640","immunity","immunity","[Passive]Increase all resistance by 90. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","40","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105645","provoke","provoke","Trick monsters within a certain range to attack themselves ","131","0","0","2601","12","0","0","0","10002","-1","10","45","1056","60","0","9","0","15","150","0","0","100","7","0","10","0"
"105650","descent","descent","Teleport to the location of a chosen party member ","0","0","0","701","-1","0","0","0","0","0","4","50","1056","50","0","9","0","0","91","0","0","100","8","0","100","0"
"105655","evading","evading","[Passive]Increase defense by 25%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","55","1056","0","0","9","0","0","0","0","0","100","0","0","0","0"
"105660","sacrifice","sacrifice","Sacrifice your own self to fill the HP one party member ","0","0","0","701","-1","0","0","0","602","-1","4","60","1056","180","10001","9","0","0","600","0","0","100","3","0","30","0"
"105705","Gain","Gain","Increase Strength by 15","26","0","0","2601","12","0","0","0","10002","-1","1","5","1057","10","0","9","0","0","91","0","0","100","4","0","0","0"
"105710","pain killer","pain killer","Exchange 100 HP for 200 Stamina","26","0","0","2601","12","0","0","0","701","-1","1","10","1057","0","100","9","0","0","45","0","0","100","3","0","0","0"
"105715","Rise","Rise","Increase HP by 10","26","0","0","2601","12","0","0","0","701","-1","1","15","1057","30","0","9","0","0","91","0","0","100","4","0","0","0"
"105720","Outrage","Outrage","Temporarily increase attack speed by 20%","26","0","0","2601","12","0","0","0","701","-1","1","20","1057","60","0","9","0","0","91","0","0","100","4","0","0","0"
"105725","Blade of hate","Blade of hate","Use mental power to attack an enemy that's standing at a distance. ","128","0","0","2601","12","0","0","0","10002","-1","7","25","1057","60","0","9","0","15","51","0","0","100","3","0","20","0"
"105730","restoration","restoration","Temporarily increase the HP regaining speed ","18","0","0","2601","12","0","0","0","601","-1","1","30","1057","105","0","9","0","0","600","0","0","100","3","0","0","0"
"105731","Blaze Killer","Blaze Killer","Exchange 200HP for 400 Stamina","26","0","0","2601","12","0","0","0","701","-1","1","30","1057","0","200","9","0","0","65","0","0","100","3","0","0","0"
"105735","Nimble Wind","Nimble Wind","Increase your Dexterity by 20","128","0","0","2601","12","0","0","0","10002","-1","1","35","1057","90","0","9","0","0","91","0","0","100","4","0","0","0"
"105740","Return to life","Return to life","Exchange 500 Stamina for 250 HP","128","0","0","2601","12","0","0","0","10002","-1","1","40","1057","500","0","9","0","0","51","0","0","100","3","0","0","0"
