"1 - UInt32","2 - String"
"1001","Failed designating re-spawn point. "
"1002","The re-spawn point is too far away. "
"1003","Successfully designated a re-spawn point. "
"1004","You've selected the wrong Warp Gate. "
"1005","Failed turning the lever "
"1101","Failed to connect for a private chat "
"1102","Successfully connected for a private chat "
"1201","Level : %d 
Specialty : %s 
ID : %s"
"1202","Left click and
you can create a
new character. "
"1301","How are you? We need people like you to work hard for our victory!"
"1302","I think you need more training"
"1303","You can now obtain a greater strength. From now, you shall be called.."
"1304","Warrior"
"1305","Rogue"
"1306","Magician"
"1307","Priest"
"1308","Offensive Warrior"
"1309","Defensive Warrior"
"1310","Archer"
"1311","Assassin"
"1312","Offensive Magician"
"1313","Pet Magician"
"1314","Healing Priest"
"1315","Cursing Priest"
"1401","Kasar Hood"
"1402","Blade"
"1403","Cleric"
"1404","Paladin"
"1405","Arch Mage"
"1406","Mage"
"1407","Blade Master"
"1408","Ranger"
"1409","Berserker"
"1410","Shadow Knight    "
"1411","Berserker Hero"
"1412","Hunter"
"1413","Elemental Lord"
"1414","Shadow Vain"
"1415","Shaman"
"1416","Sorcerer"
"1417","Priest"
"1418","Rogue"
"1419","Unconfirmed Specialty "
"1420","Warrior"
"1421","Magician"
"1450","The Great Hero"
"1451","Ruler of the Continent"
"1479","BRONZE"
"1480","SILVER"
"1481","GOLD"
"1482","PRIME"
"1483","PLATINUM"
"1484","TITANIUM"
"1485","PLATINUM"
"1486","ULTRA"
"1490","ROYAL"
"1491","LAST DAY"
"1492","PC ROOM"
"1501","Character deletion has been disabled currently"
"1502","Are you sure you want to exit? "
"1510","Failed deleting character."
"1511","Wrong ID number"
"1512","Database Error"
"1513","Invalid character"
"1514","Invalid character name"
"1515","Clan leader needs to disband his clan before erasing the character. "
"1516","Failed saving to Database. "
"1517","Error code (%d)"
"1518","The character you created cannot be deleted for 1 week after its creation. "
"1601","Disconnected from server"
"1701","You cannot buy more than 9,999 items at once."
"1702","You don't have enough Coins. "
"1703","You cannot carry more than 9,999 items at once. "
"1704","You cannot have more than 9,999 items. "
"1705","You cannot buy more than 500 items at once. "
"1706","You cannot carry more than 500 items at once. "
"1707","You cannot have more than 500 items. "
"1708","You cannot trade or pick up items because you have either exceeded the possible quantity or the weight. "
"1801","The Castle Gate has been closed"
"1802","The Castle Gate has opened"
"1901","Failed creating character"
"1902","Failed creating Database"
"1903","You cannot teleport back to town when you have half the HP or less"
"1904","Please select a specialty."
"1905","Please enter your character ID. "
"1906","You cannot use this character ID. "
"1907","The selected nation and the race does not match. "
"1908","Please select a race. "
"1909","You need to have a name in order to create a Knights"
"1910","This race is not available yet. "
"1911","You cannot create anymore characters. "
"1912","This ID is already used on another character."
"1913","There are stat points still remaining. "
"1914","You are too far away from the object. "
"1915","Unknown error. "
"2001","Are you sure you want to exit? "
"2101","*** Current concurrent user : %d ***"
"2201","Arial"
"2202","Arial"
"2203","Arial"
"2204","미드명조"
"2301","You cannot pick up the item because your item inventory is full. "
"2401","Craft item. "
"2402","Regular item. "
"2403","Rare item. "
"2404","Magic item. "
"2405","Unique item. "
"2406","Upgrade item. "
"2407","An event item"
"2501","Necklace"
"2502","Magician Armor"
"2503","Priest Armor"
"2504","Rogue Armor"
"2505","Warrior Armor"
"2506","Arrow"
"2507","Axe"
"2508","Two-handed Axe"
"2509","Belt"
"2510","Bow"
"2511","Crossbow"
"2512","Long Bow"
"2513","Lune Item"
"2514","Dagger"
"2515","Earring "
"2516","Others"
"2517","Javelin"
"2518","Jewelry"
"2519","IDS_ITEM_CLASS_LAUNCHER"
"2520","Club"
"2521","Two-handed Club"
"2522","Long Spear"
"2523","Potion"
"2524","Ring"
"2525","Scroll"
"2526","Shield"
"2527","Spear"
"2528","Staff"
"2529","One-handed Sword"
"2530","Two-handed Sword"
"2531","Knuckle"
"2532","Crow"
"2533","편지 발송 불가"
"2601","You've exceeded your possible carrying weight. "
"2602","You cannot carry additional items if the weight you're carrying is less than 0!
The weight value will return to normal if you deposit all the items into your storage!"
"2701","Request for Joining Knights has been declined."
"2702","Successfully admitted into the Knights"
"2703","Failed to be appointed as a Knights Leader "
"2704","Successfully appointed as a Knights Leader"
"2705","Failed to be appointed as Officer"
"2706","Successfully appointed as a Officer"
"2707","Failed to be appointed as Assistant Leader"
"2708","Successfully appointed as Assistant Leader"
"2709","Failed to create the Knights"
"2710","Succesfully created the Knights"
"2711","Do you want to disband the Knights?"
"2712","Failed to disband the Knights"
"2713","Successfully disbanded the Knights"
"2714","Leader"
"2715","Member"
"2716","Staff Officer"
"2717","Under disciplinary punishment"
"2718","Apprentice"
"2719","none"
"2720","Assistant Leader"
"2721","Failed to join the Knights"
"2722","Successfully joined the Knights"
"2723","Failed to displine a member of the Knights"
"2724","Successfully disciplined a member of the Knights"
"2725","Failed to decline a request to join the Knights"
"2726","Successfully declined a request to join the Knights"
"2727","Failed to ban a member of the Knights"
"2728","Successfully banned a member of the Knights"
"2729","Do you want to quit the Knights?"
"2730","Failed to quit the Knights"
"2731","Successfully quitted the Knights"
"2732","You still haven't fulfilled the requirement for becoming a Head of the Knights? Come back again when you've fulfilled the requirements. "
"2733","Sorry, but you'll need %d Coins in order to register your Knights symbol. "
"2734","%s is online."
"2735","%s is offline"
"2801","The lever has been activated. "
"2802","The lever has been deactivated. "
"2901","Log in failed.  Please contact customer service. "
"2902","Log in failed.  Please try again.  "
"2903","No such registered ID"
"2904","The ID doesn't exist on MGame either.  "
"2905","Failed logging into the %s server. (%d)"
"2906","Successfully connected to %s server but failed logging into the game. (%d)"
"2907","Your account is currently blocked. Please contact customer support."
"2908","There is an error in the selected server. "
"2909","Connection failed."
