"cp=1252","","","","",""
"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - String","6 - String"
"1","1","10","100","New Warrior's Weapon","Hunt Worms and collect 5 Silk Bundles.  Take these to Proconsul(304,354) in Moradon and he’ll give you a weapon, HP or MP potions. "
"2","1","10","100","Issac's Request","Go pay a visit to Isaac in Moradon(315,342). He’ll send you on a quest, which will be rewarded with various kinds of potions and experience points. 

Worm Extermination – He’ll give you 500 experience points if you take 10 Worm Silks to him. 
Gavolt Extermination – Take 5 Gavolt Wings and he’ll reward you with 700 experience points and 5 Water of Grace. You can usually find Gavolts in front of the main village.
Collecting Silan Bones – Retrieve 10 Silan Bones and you’ll be awarded with 1,000 experience points and 50,000 Coins.
Collecting Bulture Horns – Bring 5 Bulture Horns and you’ll receive 3,000 experience points.
Exterminating Wolf Man – Bring 10 Fangs of Wolf Man and you’ll be rewarded with 5,000 experience points and 10 Water of Favor."
"3","1","10","100","Bandicoot Extermination","Gather 5 Teeth of Bandicoot and take them to Captain Kunabarl in Moradon (460,300) and he’ll reward you with 200 experience points. "
"4","10","10","100","Specialty Skills","Visit Captain Kunabarl when you reach Level 10 and he'll let you choose your Specialty. Choosing a Specialty requires 3,000 Coins. "
"5","15","35","100","Silan Quest","Listen to Proconsul in Moradon(304,354) about the Silan Quest. Take 5 Silan Bones, 5 Iron Bars, and 50,000 Coins to him, and he’ll give you a Silan Armor set. You can collect Iron Bars by hunting different types of Bulcans.  "
"6","20","40","100","Gem of Bravery","Listen to Captain Kunabarl in Moradon(460,300) about the Gem of Bravery quest. Collect 10 Gem of bravery and deliver them to Captain Kunabarl. He’ll reward you with 52,000 experience points. |When you talk to the captain, tell him you want to fight the Blood Don and he’ll teleport you to the Blood Don’s room. Gather 10 Gems of bravery and the referee will let you out of the room. "
"7","20","30","100","Relic Searcher","There’s an NPC named Nashira(280,400) in Moradon who goes around digging into graves to find relics. Start a conversation with him and he’ll ask you to retrieve a Scroll of Seal from Priest Veronica. You can find Priest Veronica at (400,370). Retrieve a Scroll of Seal from her and you will be rewarded with 100,000 Coins and an Opal. "
"8","20","30","100","Guard Trainee of Moradon","There’s a Guard Trainee in Moradon(460,180) that is training to become a guard. Win his trust by taking 3 Bulture Horns. He’ll reward you with 5,000 experience points and potions.  "
"9","20","30","100","Trader Kim","There’s a supplier of sacrificial offerings named Trader Kim in Moradon(350,320). He collects various types of items that can be used as an offering. Take a Bulture Horn, a Fang of Wolf Man, and an Ork Talisman. He’ll reward you with 3,000 experience points, Upgrade Scrolls, and Coins. You can collect Ork Talisman by hunting Orks who live near Silans in the deeper part of Moradon. "
"10","20","30","100","Veronica in Shrine of Life","Priest Veronica in Shrine of Life(400,370) collects relics in order to study history. At her request, retrieve Zignon’s will from Nashira and she’ll reward you with 3,000 experience points, 10 Water of Grace, and 10 Potion of Sagacity. "
