"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - Int32","6 - Int32","7 - Int32"
"103001","0","1","-24","0","0","1"
"103003","0","1","0","-60","20","2"
"103005","0","1","-62","0","0","1"
"103007","0","1","-68","0","0","2"
"103009","0","1","-88","0","0","3"
"104001","0","1","15","0","0","0"
"104002","0","1","-29","0","0","4"
"104005","0","1","30","0","0","0"
"104007","0","1","-77","0","0","4"
"104008","0","1","0","50","20","0"
"105660","0","1","10000","0","0","0"
"105710","0","2","200","0","0","0"
"105725","0","1","-150","0","0","4"
"105730","0","1","0","750","60","0"
"105731","0","2","400","0","0","0"
"105740","0","1","250","0","0","0"
"105750","0","1","0","1500","60","0"
"105760","10","1","-500","0","0","4"
"106660","0","1","10000","0","0","0"
"106710","0","2","200","0","0","0"
"106725","0","1","-150","0","0","4"
"106730","0","1","0","750","60","0"
"106731","0","2","400","0","0","0"
"106740","0","1","250","0","0","0"
"106750","0","1","0","1500","60","0"
"106760","10","1","-500","0","0","4"
"107505","0","1","-156","0","0","1"
"107510","0","1","0","-232","20","6"
"107530","0","1","-309","0","0","1"
"107535","0","1","0","-463","20","6"
"107545","0","1","-463","0","0","1"
"107550","0","1","0","-691","20","6"
"107610","0","9","5","0","0","0"
"107650","0","9","10","0","0","0"
"107660","0","1","-1200","0","0","0"
"107705","0","1","60","0","0","0"
"108505","0","1","-156","0","0","1"
"108510","0","1","0","-232","20","6"
"108530","0","1","-309","0","0","1"
"108535","0","1","0","-463","20","6"
"108545","0","1","-463","0","0","1"
"108550","0","1","0","-691","20","6"
"108610","0","9","5","0","0","0"
"108650","0","9","10","0","0","0"
"108660","0","1","-1200","0","0","0"
"108705","0","1","60","0","0","0"
"109001","0","1","-24","0","0","1"
"109003","0","1","0","-60","20","2"
"109005","0","1","-62","0","0","1"
"109007","0","1","-68","0","0","2"
"109009","0","1","-88","0","0","3"
"109503","0","1","-168","0","0","1"
"109509","0","1","0","-280","20","1"
"109515","0","1","-308","0","0","1"
"109518","0","1","-238","-336","20","1"
"109527","0","1","-588","0","0","1"
"109533","8","1","-588","0","0","1"
"109535","0","1","-840","0","0","1"
"109539","0","1","-480","-1120","20","1"
"109542","0","1","-336","0","0","1"
"109543","0","1","-615","0","0","1"
"109545","15","1","-504","0","0","1"
"109551","0","1","-1260","0","0","1"
"109554","0","8","-1550","0","0","1"
"109556","0","1","-1015","0","0","1"
"109557","0","1","-1260","-1000","10","1"
"109560","15","1","-1800","-600","20","1"
"109603","0","1","-118","0","0","2"
"109609","0","1","0","-196","20","2"
"109615","0","1","-216","0","0","2"
"109618","0","1","-167","-236","20","2"
"109627","0","1","-412","0","0","2"
"109633","8","1","-412","0","0","2"
"109635","0","1","-588","0","0","2"
"109639","0","1","-336","-784","20","2"
"109642","0","1","-236","0","0","2"
"109643","0","1","-431","0","0","2"
"109645","15","1","-353","0","0","2"
"109651","0","1","-882","0","0","2"
"109656","0","1","-711","0","0","2"
"109657","0","1","-882","-700","10","2"
"109660","15","1","-1260","-420","20","2"
"109703","0","1","-118","0","0","3"
"109709","0","1","0","-196","20","3"
"109715","0","1","-216","0","0","3"
"109718","0","1","-167","-236","20","3"
"109727","0","1","-412","0","0","3"
"109733","8","1","-412","0","0","3"
"109735","0","1","-588","0","0","3"
"109739","0","1","-336","-784","20","3"
"109742","0","1","-236","0","0","3"
"109743","0","1","-431","0","0","3"
"109745","15","1","-353","0","0","3"
"109751","0","1","-882","0","0","3"
"109754","0","8","-1100","0","0","3"
"109756","0","1","-711","0","0","3"
"109757","0","1","-882","-700","10","3"
"109760","15","1","-1260","-420","20","3"
"110001","0","1","-24","0","0","1"
"110003","0","1","0","-60","20","2"
"110005","0","1","-62","0","0","1"
"110007","0","1","-68","0","0","2"
"110009","0","1","-88","0","0","3"
"110503","0","1","-168","0","0","1"
"110509","0","1","0","-280","20","1"
"110515","0","1","-308","0","0","1"
"110518","0","1","-238","-336","20","1"
"110527","0","1","-588","0","0","1"
"110533","8","1","-588","0","0","1"
"110535","0","1","-840","0","0","1"
"110539","0","1","-480","-1120","20","1"
"110542","0","1","-336","0","0","1"
"110543","0","1","-615","0","0","1"
"110545","15","1","-504","0","0","1"
"110551","0","1","-1260","0","0","1"
"110554","0","8","-1550","0","0","1"
"110556","0","1","-1015","0","0","1"
"110557","0","1","-1260","-1000","10","1"
"110560","15","1","-1800","-600","20","1"
"110570","0","1","-2500","0","0","1"
"110571","15","1","-2100","-600","20","1"
"110603","0","1","-118","0","0","2"
"110609","0","1","0","-196","20","2"
"110615","0","1","-216","0","0","2"
"110618","0","1","-167","-236","20","2"
"110627","0","1","-412","0","0","2"
"110633","8","1","-412","0","0","2"
"110635","0","1","-588","0","0","2"
"110639","0","1","-336","-784","20","2"
"110642","0","1","-236","0","0","2"
"110643","0","1","-431","0","0","2"
"110645","15","1","-353","0","0","2"
"110651","0","1","-882","0","0","2"
"110656","0","1","-711","0","0","2"
"110657","0","1","-882","-700","10","2"
"110660","15","1","-1260","-420","0","2"
"110670","0","1","-1750","0","0","2"
"110671","15","1","-1470","0","0","2"
"110703","0","1","-118","0","0","3"
"110709","0","1","0","-196","20","3"
"110715","0","1","-216","0","0","3"
"110718","0","1","-167","-236","20","3"
"110727","0","1","-412","0","0","3"
"110733","8","1","-412","0","0","3"
"110735","0","1","-588","0","0","3"
"110739","0","1","-336","-784","20","3"
"110742","0","1","-236","0","0","3"
"110743","0","1","-431","0","0","3"
"110745","15","1","-353","0","0","3"
"110751","0","1","-882","0","0","3"
"110754","0","8","-1100","0","0","3"
"110756","0","1","-711","0","0","3"
"110757","0","1","-882","-700","10","3"
"110760","15","1","-1260","-420","0","3"
"110770","0","1","-1750","0","0","3"
"110771","15","1","-1470","-420","0","3"
"111001","0","1","15","0","0","0"
"111002","0","1","-29","0","0","4"
"111005","0","1","30","0","0","0"
