"1 - UInt32","2 - String","3 - String","4 - Byte","5 - Byte","6 - Int32","7 - Byte","8 - Byte","9 - Byte","10 - Byte","11 - Int32","12 - Byte","13 - Byte","14 - Byte"
"107645","Stealth","공격하지 않는 상태에서 80초간 투명상태를 유지합니다.","0","0","0","1","2","0","100","80","0","100","0"
"107700","Hide","움직이지 않는 상태에서 40초간 투명 상태를 유지합니다.","0","0","0","1","1","0","100","40","0","100","0"
"107715","Cat's eyes","투명한 적을 50초간 볼 수 있게 해줍니다.","0","0","0","2","3","25","100","50","0","100","0"
"107735","Lupine Eyes","투명한 적을 파티원 모두가 50초간 볼 수 있게 해줍니다.","0","0","0","2","4","25","100","50","0","100","0"
"108645","Stealth","공격하지 않는 상태에서 80초간 투명상태를 유지합니다.","0","0","0","1","2","0","100","80","0","100","0"
"108700","Hide","움직이지 않는 상태에서 40초간 투명 상태를 유지합니다.","0","0","0","1","1","0","100","40","0","100","0"
"108715","Cat's eyes","투명한 적을 50초간 볼 수 있게 해줍니다.","0","0","0","2","3","25","100","50","0","100","0"
"108735","Lupine Eyes","투명한 적을 파티원 모두가 50초간 볼 수 있게 해줍니다.","0","0","0","2","4","25","100","50","0","100","0"
"108805","secrecy","파티원 모두를 움직이지 않을 때 30초간 투명상태로 만듭니다","0","0","0","1","5","25","100","30","0","100","0"
"207645","Stealth","공격하지 않는 상태에서 80초간 투명상태를 유지합니다.","0","0","0","1","2","0","100","80","0","100","0"
"207700","Hide","움직이지 않는 상태에서 40초간 투명 상태를 유지합니다.","0","0","0","1","1","0","100","40","0","100","0"
"207715","Cat's eyes","투명한 적을 50초간 볼 수 있게 해줍니다.","0","0","0","2","3","25","100","50","0","100","0"
"207735","Lupine Eyes","투명한 적을 파티원 모두가 50초간 볼 수 있게 해줍니다.","0","0","0","2","4","25","100","50","0","100","0"
"208645","Stealth","공격하지 않는 상태에서 80초간 투명상태를 유지합니다.","0","0","0","1","2","0","100","80","0","100","0"
"208700","Hide","움직이지 않는 상태에서 40초간 투명 상태를 유지합니다.","0","0","0","1","1","0","100","40","0","100","0"
"208715","Cat's eyes","투명한 적을 50초간 볼 수 있게 해줍니다.","0","0","0","2","3","25","100","50","0","100","0"
"208735","Lupine Eyes","투명한 적을 파티원 모두가 50초간 볼 수 있게 해줍니다.","0","0","0","2","4","25","100","50","0","100","0"
"208805","secrecy","파티원 모두를 움직이지 않을 때 30초간 투명상태로 만듭니다","0","0","0","1","5","25","100","30","0","100","0"
"490211","심연의 눈","투명 상태의 적을 30초간 볼 수 있습니다.","0","0","0","2","3","25","100","30","0","100","0"
"502001","단장용 가드(카루스)","단장용 가드(카루스)","0","1","5151","3","7","0","100","3600","0","100","0"
"502002","부단장용 가드(카루스)","부단장용 가드(카루스)","0","1","5152","3","7","0","100","3600","0","100","0"
"502003","단장용 가드(엘모라드)","단장용 가드(엘모라드)","0","2","5101","3","7","0","100","3600","0","100","0"
"502004","부단장용 가드(엘모라드)","부단장용 가드(엘모라드)","0","2","5102","3","7","0","100","3600","0","100","0"
"502005","단장용 가드(카루스)","단장용 가드(카루스)","0","1","5151","3","7","0","100","3600","0","100","0"
"502006","부단장용 가드(카루스)","부단장용 가드(카루스)","0","1","5152","3","7","0","100","3600","0","100","0"
"502007","단장용 가드(엘모라드)","단장용 가드(엘모라드)","0","2","5101","3","7","0","100","3600","0","100","0"
"502008","부단장용 가드(엘모라드)","부단장용 가드(엘모라드)","0","2","5102","3","7","0","100","3600","0","100","0"
"502009","단장용 가드(카루스)","단장용 가드(카루스)","0","1","5151","3","7","0","100","3600","0","100","0"
"502010","부단장용 가드(카루스)","부단장용 가드(카루스)","0","1","5152","3","7","0","100","3600","0","100","0"
"502011","단장용 가드(엘모라드)","단장용 가드(엘모라드)","0","2","5101","3","7","0","100","3600","0","100","0"
"502012","부단장용 가드(엘모라드)","부단장용 가드(엘모라드)","0","2","5102","3","7","0","100","3600","0","100","0"
